Date,Year,Day_of_Week,Week_of_Year,Month,Month_Name,Period_Label,Resident_Population,Daily_Visitors_Overnight,Daily_Visitors_Day_Tripper,Daily_Visitors_Total,Access_Fee_Active,Access_Fee_EUR,Access_Fee_USD,Fee_Tier,Acqua_Alta_Flag,Major_Event_Flag,Major_Event_Name,CPI,Data_Source,Derivation_Method,Notes
2024-01-11,2024,Thursday,2,1,January,2024_actual,48489,19840,17787,37627,N,,,,N,N,,72.2,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-01-12,2024,Friday,2,1,January,2024_actual,48489,21043,19965,41008,N,,,,N,N,,78.7,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-01-13,2024,Saturday,2,1,January,2024_actual,48489,22045,21780,43825,N,,,,N,N,,84.1,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-01-14,2024,Sunday,2,1,January,2024_actual,48489,20642,19239,39881,N,,,,N,N,,76.5,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-01-15,2024,Monday,3,1,January,2024_actual,48489,19239,16698,35937,N,,,,N,N,,69.0,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-01-16,2024,Tuesday,3,1,January,2024_actual,48489,19039,16335,35374,N,,,,N,N,,67.9,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-01-17,2024,Wednesday,3,1,January,2024_actual,48489,19239,16698,35937,N,,,,N,N,,69.0,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-01-18,2024,Thursday,3,1,January,2024_actual,48489,19840,17787,37627,N,,,,N,N,,72.2,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-01-19,2024,Friday,3,1,January,2024_actual,48489,21043,19965,41008,N,,,,N,N,,78.7,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-01-20,2024,Saturday,3,1,January,2024_actual,48489,22045,21780,43825,N,,,,N,N,,84.1,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-01-21,2024,Sunday,3,1,January,2024_actual,48489,20642,19239,39881,N,,,,N,N,,76.5,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-01-22,2024,Monday,4,1,January,2024_actual,48489,19239,16698,35937,N,,,,N,N,,69.0,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-01-23,2024,Tuesday,4,1,January,2024_actual,48489,19039,16335,35374,N,,,,N,N,,67.9,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-01-24,2024,Wednesday,4,1,January,2024_actual,48489,19239,16698,35937,N,,,,N,N,,69.0,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-01-25,2024,Thursday,4,1,January,2024_actual,48489,19840,17787,37627,N,,,,N,N,,72.2,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-01-26,2024,Friday,4,1,January,2024_actual,48489,21043,19965,41008,N,,,,N,N,,78.7,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-01-27,2024,Saturday,4,1,January,2024_actual,48489,22045,21780,43825,N,,,,N,N,,84.1,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-01-28,2024,Sunday,4,1,January,2024_actual,48489,20642,19239,39881,N,,,,N,N,,76.5,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-01-29,2024,Monday,5,1,January,2024_actual,48489,19239,16698,35937,N,,,,N,N,,69.0,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-01-30,2024,Tuesday,5,1,January,2024_actual,48489,19039,16335,35374,N,,,,N,N,,67.9,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-01-31,2024,Wednesday,5,1,January,2024_actual,48489,19239,16698,35937,N,,,,N,N,,69.0,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-02-01,2024,Thursday,5,2,February,2024_actual,48489,25252,22638,47890,N,,,,N,N,,91.9,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-02-02,2024,Friday,5,2,February,2024_actual,48489,26782,25410,52192,N,,,,N,N,,100.2,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-02-03,2024,Saturday,5,2,February,2024_actual,48489,28057,27720,55777,N,,,,N,N,,107.0,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-02-04,2024,Sunday,5,2,February,2024_actual,48489,26272,24486,50758,N,,,,N,N,,97.4,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-02-05,2024,Monday,6,2,February,2024_actual,48489,24486,21252,45738,N,,,,N,N,,87.8,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-02-06,2024,Tuesday,6,2,February,2024_actual,48489,24231,20790,45021,N,,,,N,N,,86.4,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-02-07,2024,Wednesday,6,2,February,2024_actual,48489,24486,21252,45738,N,,,,N,N,,87.8,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-02-08,2024,Thursday,6,2,February,2024_actual,48489,25252,22638,47890,N,,,,N,Y,Carnival of Venice,91.9,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-02-09,2024,Friday,6,2,February,2024_actual,48489,26782,25410,52192,N,,,,N,Y,Carnival of Venice,100.2,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-02-10,2024,Saturday,6,2,February,2024_actual,48489,28057,27720,55777,N,,,,N,Y,Carnival of Venice,107.0,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-02-11,2024,Sunday,6,2,February,2024_actual,48489,26272,24486,50758,N,,,,N,Y,Carnival of Venice,97.4,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-02-12,2024,Monday,7,2,February,2024_actual,48489,24486,21252,45738,N,,,,N,Y,Carnival of Venice,87.8,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-02-13,2024,Tuesday,7,2,February,2024_actual,48489,24231,20790,45021,N,,,,N,Y,Carnival of Venice,86.4,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-02-14,2024,Wednesday,7,2,February,2024_actual,48489,24486,21252,45738,N,,,,N,Y,Carnival of Venice,87.8,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-02-15,2024,Thursday,7,2,February,2024_actual,48489,25252,22638,47890,N,,,,N,Y,Carnival of Venice,91.9,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-02-16,2024,Friday,7,2,February,2024_actual,48489,26782,25410,52192,N,,,,N,Y,Carnival of Venice,100.2,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-02-17,2024,Saturday,7,2,February,2024_actual,48489,28057,27720,55777,N,,,,N,Y,Carnival of Venice,107.0,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-02-18,2024,Sunday,7,2,February,2024_actual,48489,26272,24486,50758,N,,,,N,Y,Carnival of Venice,97.4,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-02-19,2024,Monday,8,2,February,2024_actual,48489,24486,21252,45738,N,,,,N,Y,Carnival of Venice,87.8,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-02-20,2024,Tuesday,8,2,February,2024_actual,48489,24231,20790,45021,N,,,,N,Y,Carnival of Venice,86.4,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-02-21,2024,Wednesday,8,2,February,2024_actual,48489,24486,21252,45738,N,,,,N,Y,Carnival of Venice,87.8,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-02-22,2024,Thursday,8,2,February,2024_actual,48489,25252,22638,47890,N,,,,N,Y,Carnival of Venice,91.9,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-02-23,2024,Friday,8,2,February,2024_actual,48489,26782,25410,52192,N,,,,N,Y,Carnival of Venice,100.2,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-02-24,2024,Saturday,8,2,February,2024_actual,48489,28057,27720,55777,N,,,,N,Y,Carnival of Venice,107.0,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-02-25,2024,Sunday,8,2,February,2024_actual,48489,26272,24486,50758,N,,,,N,Y,Carnival of Venice,97.4,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-02-26,2024,Monday,9,2,February,2024_actual,48489,24486,21252,45738,N,,,,N,N,,87.8,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-02-27,2024,Tuesday,9,2,February,2024_actual,48489,24231,20790,45021,N,,,,N,N,,86.4,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-02-28,2024,Wednesday,9,2,February,2024_actual,48489,24486,21252,45738,N,,,,N,N,,87.8,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-02-29,2024,Thursday,9,2,February,2024_actual,48489,25252,22638,47890,N,,,,N,N,,91.9,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-03-01,2024,Friday,9,3,March,2024_actual,48489,32521,30855,63376,N,,,,N,N,,121.6,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-03-02,2024,Saturday,9,3,March,2024_actual,48489,34070,33660,67730,N,,,,N,N,,130.0,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-03-03,2024,Sunday,9,3,March,2024_actual,48489,31901,29733,61634,N,,,,N,N,,118.3,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-03-04,2024,Monday,10,3,March,2024_actual,48489,29733,25806,55539,N,,,,N,N,,106.6,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-03-05,2024,Tuesday,10,3,March,2024_actual,48489,29424,25245,54669,N,,,,N,N,,104.9,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-03-06,2024,Wednesday,10,3,March,2024_actual,48489,29733,25806,55539,N,,,,N,N,,106.6,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-03-07,2024,Thursday,10,3,March,2024_actual,48489,30663,27489,58152,N,,,,N,N,,111.6,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-03-08,2024,Friday,10,3,March,2024_actual,48489,32521,30855,63376,N,,,,N,N,,121.6,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-03-09,2024,Saturday,10,3,March,2024_actual,48489,34070,33660,67730,N,,,,N,N,,130.0,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-03-10,2024,Sunday,10,3,March,2024_actual,48489,31901,29733,61634,N,,,,N,N,,118.3,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-03-11,2024,Monday,11,3,March,2024_actual,48489,29733,25806,55539,N,,,,N,N,,106.6,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-03-12,2024,Tuesday,11,3,March,2024_actual,48489,29424,25245,54669,N,,,,N,N,,104.9,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-03-13,2024,Wednesday,11,3,March,2024_actual,48489,29733,25806,55539,N,,,,N,N,,106.6,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-03-14,2024,Thursday,11,3,March,2024_actual,48489,30663,27489,58152,N,,,,N,N,,111.6,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-03-15,2024,Friday,11,3,March,2024_actual,48489,32521,30855,63376,N,,,,N,N,,121.6,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-03-16,2024,Saturday,11,3,March,2024_actual,48489,34070,33660,67730,N,,,,N,N,,130.0,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-03-17,2024,Sunday,11,3,March,2024_actual,48489,31901,29733,61634,N,,,,N,N,,118.3,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-03-18,2024,Monday,12,3,March,2024_actual,48489,29733,25806,55539,N,,,,N,N,,106.6,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-03-19,2024,Tuesday,12,3,March,2024_actual,48489,29424,25245,54669,N,,,,N,N,,104.9,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
2024-03-20,2024,Wednesday,12,3,March,2024_actual,48489,29733,25806,55539,N,,,,N,N,,106.6,Comune di Venezia Yearbook + Euronews/CDA fee data [web search - 2026-06-05] [web search - 2026-06-05],"Daily = annual overnight stays x monthly seasonal index / days, DOW-adjusted; fee dates official. [web search - 2026-06-05] [web search - 2026-06-05]",
